#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FOXM1	CENPF	9606.ENSP00000342307	9606.ENSP00000355922	0	0	0	0	0.747	0	0.750	0.845	0.989
FUT2	B3GNT3	9606.ENSP00000387498	9606.ENSP00000321874	0	0	0	0	0.096	0	0.900	0.491	0.950
FUT2	EDNRB	9606.ENSP00000387498	9606.ENSP00000366416	0	0	0	0	0	0	0	0.605	0.605
FUT2	GCNT3	9606.ENSP00000387498	9606.ENSP00000379377	0	0	0	0	0.159	0	0	0.410	0.483
GCNT3	B3GNT3	9606.ENSP00000379377	9606.ENSP00000321874	0	0	0	0	0.105	0	0	0.555	0.585
GCNT3	FUT2	9606.ENSP00000379377	9606.ENSP00000387498	0	0	0	0	0.159	0	0	0.410	0.483
GIMAP8	CD93	9606.ENSP00000305107	9606.ENSP00000246006	0	0	0	0	0.401	0.100	0	0	0.438
GINS1	CDC6	9606.ENSP00000262460	9606.ENSP00000209728	0	0	0	0	0.483	0.071	0	0.509	0.744
GINS1	MYBL2	9606.ENSP00000262460	9606.ENSP00000217026	0	0	0	0	0.364	0	0	0.118	0.415
GINS1	ORC6	9606.ENSP00000262460	9606.ENSP00000219097	0	0	0	0	0.292	0	0	0.394	0.553
GINS1	NCAPH	9606.ENSP00000262460	9606.ENSP00000240423	0	0	0	0	0.564	0	0	0.249	0.658
GINS1	DLGAP5	9606.ENSP00000262460	9606.ENSP00000247191	0	0	0	0	0.375	0	0	0.260	0.518
GINS1	E2F8	9606.ENSP00000262460	9606.ENSP00000250024	0	0	0	0	0.432	0	0	0.280	0.574
GINS1	NCAPG	9606.ENSP00000262460	9606.ENSP00000251496	0	0	0	0	0.495	0	0	0.371	0.669
GINS1	GINS2	9606.ENSP00000262460	9606.ENSP00000253462	0	0	0	0	0.701	0.999	0.800	0.998	0.999
GINS1	CCNB1	9606.ENSP00000262460	9606.ENSP00000256442	0	0	0	0	0.456	0.091	0	0.462	0.711
GINS1	ESPL1	9606.ENSP00000262460	9606.ENSP00000257934	0	0	0	0	0.269	0	0	0.238	0.420
GINS1	KIF11	9606.ENSP00000262460	9606.ENSP00000260731	0	0	0	0	0.524	0	0	0.312	0.658
GINS1	EZH2	9606.ENSP00000262460	9606.ENSP00000320147	0	0	0	0	0.309	0.064	0	0.148	0.401
GINS1	NEK2	9606.ENSP00000262460	9606.ENSP00000355966	0	0	0	0	0.237	0	0	0.248	0.402
GINS1	UHRF1	9606.ENSP00000262460	9606.ENSP00000479617	0	0	0	0	0.359	0	0	0.107	0.403
GINS1	ANLN	9606.ENSP00000262460	9606.ENSP00000265748	0	0	0	0	0.244	0	0	0.245	0.405
GINS1	SPAG5	9606.ENSP00000262460	9606.ENSP00000323300	0	0	0	0	0.256	0.057	0	0.229	0.411
GINS1	HJURP	9606.ENSP00000262460	9606.ENSP00000414109	0	0	0	0	0.279	0	0	0.220	0.413
GINS1	STIL	9606.ENSP00000262460	9606.ENSP00000360944	0	0	0	0	0.414	0	0	0.065	0.429
GINS1	CENPF	9606.ENSP00000262460	9606.ENSP00000355922	0	0	0	0	0.243	0	0	0.277	0.429
GINS1	MKI67	9606.ENSP00000262460	9606.ENSP00000357643	0	0	0	0	0.338	0	0	0.187	0.439
GINS1	CDCA8	9606.ENSP00000262460	9606.ENSP00000362146	0	0	0	0	0.313	0	0	0.219	0.441
GINS1	SKA3	9606.ENSP00000262460	9606.ENSP00000319417	0	0	0	0	0.345	0	0	0.187	0.445
GINS1	CDCA5	9606.ENSP00000262460	9606.ENSP00000275517	0	0	0	0	0.353	0	0	0.186	0.451
GINS1	HMMR	9606.ENSP00000262460	9606.ENSP00000377492	0	0	0	0	0.354	0.046	0	0.217	0.476
GINS1	NUF2	9606.ENSP00000262460	9606.ENSP00000271452	0	0	0	0	0.425	0	0	0.129	0.478
GINS1	CCNB2	9606.ENSP00000262460	9606.ENSP00000288207	0	0	0	0	0.239	0.091	0	0.311	0.482
GINS1	RECQL4	9606.ENSP00000262460	9606.ENSP00000482313	0	0	0	0	0.210	0.292	0	0.151	0.483
GINS1	DEPDC1	9606.ENSP00000262460	9606.ENSP00000412292	0	0	0	0	0.354	0	0	0.240	0.488
GINS1	KIF4A	9606.ENSP00000262460	9606.ENSP00000363524	0	0	0	0	0.383	0	0	0.235	0.508
GINS1	KIF15	9606.ENSP00000262460	9606.ENSP00000324020	0	0	0	0	0.484	0	0	0.091	0.511
GINS1	KIF20A	9606.ENSP00000262460	9606.ENSP00000378356	0	0	0	0	0.327	0	0	0.307	0.514
GINS1	BIRC5	9606.ENSP00000262460	9606.ENSP00000301633	0	0	0	0	0.394	0	0	0.251	0.526
GINS1	SGO1	9606.ENSP00000262460	9606.ENSP00000263753	0	0	0	0	0.221	0	0	0.419	0.528
GINS1	DEPDC1B	9606.ENSP00000262460	9606.ENSP00000265036	0	0	0	0	0.447	0	0	0.190	0.533
GINS1	PBK	9606.ENSP00000262460	9606.ENSP00000428489	0	0	0	0	0.381	0	0	0.283	0.537
GINS1	EXO1	9606.ENSP00000262460	9606.ENSP00000355506	0	0	0	0	0.462	0	0	0.179	0.539
GINS1	CCNA2	9606.ENSP00000262460	9606.ENSP00000481380	0	0	0	0	0.350	0	0	0.331	0.547
GINS1	ERCC6L	9606.ENSP00000262460	9606.ENSP00000334675	0	0	0	0	0.401	0	0	0.275	0.548
GINS1	KIF18B	9606.ENSP00000262460	9606.ENSP00000465992	0	0	0	0	0.459	0	0	0.220	0.560
GINS1	TTK	9606.ENSP00000262460	9606.ENSP00000358813	0	0	0	0	0.308	0	0	0.398	0.565
GINS1	AURKB	9606.ENSP00000262460	9606.ENSP00000313950	0	0	0	0	0.331	0	0	0.386	0.571
GINS1	CDC25C	9606.ENSP00000262460	9606.ENSP00000321656	0	0	0	0	0.224	0	0	0.502	0.597
GINS1	CHEK1	9606.ENSP00000262460	9606.ENSP00000391090	0	0	0	0	0.335	0.312	0	0.194	0.599
GINS1	MELK	9606.ENSP00000262460	9606.ENSP00000298048	0	0	0	0	0.415	0	0	0.354	0.606
GINS1	TPX2	9606.ENSP00000262460	9606.ENSP00000300403	0	0	0	0	0.396	0	0	0.407	0.626
GINS1	KIF2C	9606.ENSP00000262460	9606.ENSP00000361298	0	0	0	0	0.283	0	0	0.504	0.629
GINS1	TICRR	9606.ENSP00000262460	9606.ENSP00000268138	0	0	0	0	0.251	0	0	0.526	0.630
GINS1	ASPM	9606.ENSP00000262460	9606.ENSP00000356379	0	0	0	0	0.288	0	0	0.523	0.646
GINS1	KIF14	9606.ENSP00000262460	9606.ENSP00000356319	0	0	0	0	0.339	0	0	0.511	0.662
GINS1	FOXM1	9606.ENSP00000262460	9606.ENSP00000342307	0	0	0	0	0.445	0	0	0.432	0.671
GINS1	BUB1B	9606.ENSP00000262460	9606.ENSP00000287598	0	0	0	0	0.532	0.065	0	0.315	0.674
GINS1	CEP55	9606.ENSP00000262460	9606.ENSP00000360540	0	0	0	0	0.352	0	0	0.522	0.677
GINS1	TOP2A	9606.ENSP00000262460	9606.ENSP00000411532	0	0	0	0	0.280	0.094	0	0.576	0.699
GINS1	UBE2C	9606.ENSP00000262460	9606.ENSP00000348838	0	0	0	0	0.384	0	0	0.534	0.701
GINS1	RRM2	9606.ENSP00000262460	9606.ENSP00000353770	0	0	0	0	0.614	0	0	0.551	0.819
GINS1	ZWINT	9606.ENSP00000262460	9606.ENSP00000363055	0	0	0	0	0.768	0	0	0.376	0.849
GINS1	MCM10	9606.ENSP00000262460	9606.ENSP00000418268	0	0	0	0	0.646	0.374	0	0.854	0.965
GINS1	CDC45	9606.ENSP00000262460	9606.ENSP00000405726	0	0	0	0	0.392	0.996	0.540	0.931	0.999
GINS2	CDC6	9606.ENSP00000253462	9606.ENSP00000209728	0	0	0	0	0.417	0	0	0.515	0.705
GINS2	MYBL2	9606.ENSP00000253462	9606.ENSP00000217026	0	0	0	0	0.360	0	0	0.196	0.463
GINS2	ORC6	9606.ENSP00000253462	9606.ENSP00000219097	0	0	0	0	0.291	0	0	0.330	0.505
GINS2	NCAPH	9606.ENSP00000253462	9606.ENSP00000240423	0	0	0	0	0.652	0	0	0.105	0.675
GINS2	DLGAP5	9606.ENSP00000253462	9606.ENSP00000247191	0	0	0	0	0.445	0	0	0.517	0.720
GINS2	E2F8	9606.ENSP00000253462	9606.ENSP00000250024	0	0	0	0	0.265	0	0	0.275	0.445
GINS2	NCAPG	9606.ENSP00000253462	9606.ENSP00000251496	0	0	0	0	0.694	0	0	0.537	0.852
GINS2	MKI67	9606.ENSP00000253462	9606.ENSP00000357643	0	0	0	0	0.351	0	0	0.120	0.404
GINS2	SPAG5	9606.ENSP00000253462	9606.ENSP00000323300	0	0	0	0	0.324	0	0	0.155	0.405
GINS2	ANLN	9606.ENSP00000253462	9606.ENSP00000265748	0	0	0	0	0.257	0	0	0.237	0.409
GINS2	NDC80	9606.ENSP00000253462	9606.ENSP00000261597	0	0	0	0	0.412	0	0	0	0.412
GINS2	FOXM1	9606.ENSP00000253462	9606.ENSP00000342307	0	0	0	0	0.322	0	0	0.171	0.414
GINS2	GTSE1	9606.ENSP00000253462	9606.ENSP00000415430	0	0	0	0	0.351	0	0	0.138	0.416
GINS2	TROAP	9606.ENSP00000253462	9606.ENSP00000257909	0	0	0	0	0.293	0	0	0.219	0.424
GINS2	NEK2	9606.ENSP00000253462	9606.ENSP00000355966	0	0	0	0	0.285	0	0	0.260	0.449
GINS2	ERCC6L	9606.ENSP00000253462	9606.ENSP00000334675	0	0	0	0	0.361	0.046	0	0.173	0.452
GINS2	KIF4A	9606.ENSP00000253462	9606.ENSP00000363524	0	0	0	0	0.379	0	0	0.159	0.455
GINS2	CDC25C	9606.ENSP00000253462	9606.ENSP00000321656	0	0	0	0	0.350	0	0	0.209	0.464
GINS2	RMI2	9606.ENSP00000253462	9606.ENSP00000310356	0	0	0	0	0.320	0	0	0.246	0.465
GINS2	BUB1B	9606.ENSP00000253462	9606.ENSP00000287598	0	0	0	0	0.377	0	0	0.201	0.481
GINS2	CKAP2L	9606.ENSP00000253462	9606.ENSP00000305204	0	0	0	0	0.338	0	0	0.258	0.487
GINS2	TEDC2	9606.ENSP00000253462	9606.ENSP00000355022	0	0	0	0	0.417	0	0	0.166	0.492
GINS2	PKMYT1	9606.ENSP00000253462	9606.ENSP00000262300	0	0	0	0	0.336	0	0	0.278	0.500
GINS2	HJURP	9606.ENSP00000253462	9606.ENSP00000414109	0	0	0	0	0.395	0	0	0.222	0.509
GINS2	TTK	9606.ENSP00000253462	9606.ENSP00000358813	0	0	0	0	0.358	0	0	0.266	0.509
GINS2	PBK	9606.ENSP00000253462	9606.ENSP00000428489	0	0	0	0	0.480	0	0	0.113	0.519
GINS2	CDCA2	9606.ENSP00000253462	9606.ENSP00000328228	0	0	0	0	0.318	0	0	0.325	0.520
GINS2	RAD54L	9606.ENSP00000253462	9606.ENSP00000361043	0	0	0	0	0.354	0.046	0	0.284	0.520
GINS2	CENPF	9606.ENSP00000253462	9606.ENSP00000355922	0	0	0	0	0.345	0	0	0.298	0.521
GINS2	TPX2	9606.ENSP00000253462	9606.ENSP00000300403	0	0	0	0	0.368	0	0	0.278	0.524
GINS2	CENPA	9606.ENSP00000253462	9606.ENSP00000336868	0	0	0	0	0.345	0	0	0.308	0.528
GINS2	CEP55	9606.ENSP00000253462	9606.ENSP00000360540	0	0	0	0	0.460	0	0	0.167	0.531
GINS2	KIF2C	9606.ENSP00000253462	9606.ENSP00000361298	0	0	0	0	0.377	0	0	0.290	0.539
GINS2	NUF2	9606.ENSP00000253462	9606.ENSP00000271452	0	0	0	0	0.417	0	0	0.246	0.541
GINS2	KIF20A	9606.ENSP00000253462	9606.ENSP00000378356	0	0	0	0	0.383	0	0	0.306	0.554
GINS2	RECQL4	9606.ENSP00000253462	9606.ENSP00000482313	0	0	0	0	0.262	0.292	0	0.218	0.556
GINS2	HMMR	9606.ENSP00000253462	9606.ENSP00000377492	0	0	0	0	0.416	0	0	0.287	0.565
GINS2	CDCA3	9606.ENSP00000253462	9606.ENSP00000442068	0	0	0	0	0.398	0	0	0.308	0.566
GINS2	UBE2T	9606.ENSP00000253462	9606.ENSP00000494957	0	0	0	0	0.464	0	0	0.244	0.577
GINS2	UBE2C	9606.ENSP00000253462	9606.ENSP00000348838	0	0	0	0	0.433	0	0	0.293	0.582
GINS2	KIF11	9606.ENSP00000253462	9606.ENSP00000260731	0	0	0	0	0.464	0	0	0.257	0.585
GINS2	MELK	9606.ENSP00000253462	9606.ENSP00000298048	0	0	0	0	0.465	0	0	0.263	0.589
GINS2	UHRF1	9606.ENSP00000253462	9606.ENSP00000479617	0	0	0	0	0.405	0	0	0.349	0.596
GINS2	EXO1	9606.ENSP00000253462	9606.ENSP00000355506	0	0	0	0	0.428	0	0	0.331	0.601
GINS2	CCNA2	9606.ENSP00000253462	9606.ENSP00000481380	0	0	0	0	0.488	0	0	0.255	0.602
GINS2	RRM2	9606.ENSP00000253462	9606.ENSP00000353770	0	0	0	0	0.467	0	0	0.289	0.605
GINS2	TICRR	9606.ENSP00000253462	9606.ENSP00000268138	0	0	0	0	0.273	0.053	0	0.480	0.610
GINS2	AURKB	9606.ENSP00000253462	9606.ENSP00000313950	0	0	0	0	0.515	0	0	0.246	0.619
GINS2	CDC20	9606.ENSP00000253462	9606.ENSP00000361540	0	0	0	0	0.495	0	0	0.295	0.628
GINS2	CHEK1	9606.ENSP00000253462	9606.ENSP00000391090	0	0	0	0	0.526	0.088	0	0.222	0.634
GINS2	ASPM	9606.ENSP00000253462	9606.ENSP00000356379	0	0	0	0	0.401	0	0	0.425	0.641
GINS2	BIRC5	9606.ENSP00000253462	9606.ENSP00000301633	0	0	0	0	0.513	0.071	0	0.271	0.641
GINS2	CCNB1	9606.ENSP00000253462	9606.ENSP00000256442	0	0	0	0	0.379	0.058	0	0.438	0.643
GINS2	ZWINT	9606.ENSP00000253462	9606.ENSP00000363055	0	0	0	0	0.507	0	0	0.337	0.659
GINS2	CDCA8	9606.ENSP00000253462	9606.ENSP00000362146	0	0	0	0	0.510	0	0	0.368	0.677
GINS2	CDCA5	9606.ENSP00000253462	9606.ENSP00000275517	0	0	0	0	0.532	0	0	0.351	0.683
GINS2	KIF15	9606.ENSP00000253462	9606.ENSP00000324020	0	0	0	0	0.514	0	0	0.400	0.696
GINS2	TOP2A	9606.ENSP00000253462	9606.ENSP00000411532	0	0	0	0	0.600	0	0	0.306	0.711
GINS2	CCNB2	9606.ENSP00000253462	9606.ENSP00000288207	0	0	0	0	0.778	0.058	0	0.313	0.844
GINS2	MCM10	9606.ENSP00000253462	9606.ENSP00000418268	0	0	0	0	0.621	0.627	0	0.600	0.938
GINS2	CDC45	9606.ENSP00000253462	9606.ENSP00000405726	0	0	0	0	0.795	0.996	0.540	0.841	0.999
GINS2	GINS1	9606.ENSP00000253462	9606.ENSP00000262460	0	0	0	0	0.701	0.999	0.800	0.998	0.999
GJB2	CAV1	9606.ENSP00000372295	9606.ENSP00000339191	0	0	0	0	0.047	0.292	0	0.530	0.655
GJB2	TMPRSS4	9606.ENSP00000372295	9606.ENSP00000416037	0	0	0	0	0.094	0	0	0.646	0.665
GOLM1	SPINK1	9606.ENSP00000373364	9606.ENSP00000296695	0	0	0	0	0.042	0	0	0.581	0.581
GPT2	TFR2	9606.ENSP00000345282	9606.ENSP00000420525	0	0	0	0	0.055	0	0	0.421	0.430
GPT2	PYCR1	9606.ENSP00000345282	9606.ENSP00000384949	0.045	0	0	0	0.238	0	0	0.356	0.490
GPT2	ALDH18A1	9606.ENSP00000345282	9606.ENSP00000360268	0.247	0	0	0	0.088	0	0	0.530	0.649
GPT2	PSAT1	9606.ENSP00000345282	9606.ENSP00000365773	0.061	0	0	0	0.360	0.090	0	0.555	0.724
GREM1	COL10A1	9606.ENSP00000498748	9606.ENSP00000327368	0	0	0	0	0.122	0	0	0.349	0.403
GREM1	CTHRC1	9606.ENSP00000498748	9606.ENSP00000330523	0	0	0	0	0.110	0	0	0.374	0.419
GREM1	COL11A1	9606.ENSP00000498748	9606.ENSP00000359114	0	0	0	0	0.118	0	0	0.467	0.509
GREM1	SPP1	9606.ENSP00000498748	9606.ENSP00000378517	0	0	0	0	0.072	0	0	0.428	0.446
GRK5	KISS1R	9606.ENSP00000376609	9606.ENSP00000234371	0	0	0	0	0	0.097	0.500	0.042	0.529
GRK5	ADRB2	9606.ENSP00000376609	9606.ENSP00000305372	0	0	0	0	0.054	0.333	0.500	0.750	0.910
GRK5	SRPK1	9606.ENSP00000376609	9606.ENSP00000362931	0	0	0	0	0	0.292	0	0.376	0.539
GRK5	EDNRB	9606.ENSP00000376609	9606.ENSP00000366416	0	0	0	0	0.049	0.097	0.500	0.112	0.567
GTSE1	MYBL2	9606.ENSP00000415430	9606.ENSP00000217026	0	0	0	0	0.318	0	0	0.225	0.449
GTSE1	ORC6	9606.ENSP00000415430	9606.ENSP00000219097	0	0	0	0	0.254	0	0	0.247	0.414
GTSE1	NCAPH	9606.ENSP00000415430	9606.ENSP00000240423	0	0	0	0	0.274	0	0	0.223	0.412
GTSE1	DLGAP5	9606.ENSP00000415430	9606.ENSP00000247191	0	0	0	0	0.492	0	0	0.502	0.736
GTSE1	E2F8	9606.ENSP00000415430	9606.ENSP00000250024	0	0	0	0	0.338	0	0	0.280	0.503
GTSE1	NCAPG	9606.ENSP00000415430	9606.ENSP00000251496	0	0	0	0	0.498	0	0	0.305	0.636
GTSE1	GINS2	9606.ENSP00000415430	9606.ENSP00000253462	0	0	0	0	0.351	0	0	0.138	0.416
GTSE1	CCNB1	9606.ENSP00000415430	9606.ENSP00000256442	0	0	0	0	0.402	0	0.400	0.350	0.746
GTSE1	TROAP	9606.ENSP00000415430	9606.ENSP00000257909	0	0	0	0	0.620	0	0	0.243	0.700
GTSE1	ESPL1	9606.ENSP00000415430	9606.ENSP00000257934	0	0	0	0	0.393	0	0	0.248	0.524
GTSE1	KIF11	9606.ENSP00000415430	9606.ENSP00000260731	0	0	0	0	0.492	0	0	0.250	0.603
GTSE1	NDC80	9606.ENSP00000415430	9606.ENSP00000261597	0	0	0	0	0.484	0	0	0.091	0.511
GTSE1	PKMYT1	9606.ENSP00000415430	9606.ENSP00000262300	0	0	0	0	0.336	0	0	0.381	0.572
GTSE1	SGO1	9606.ENSP00000415430	9606.ENSP00000263753	0	0	0	0	0.485	0.046	0	0.246	0.597
GTSE1	DEPDC1B	9606.ENSP00000415430	9606.ENSP00000265036	0	0	0	0	0.345	0	0	0.181	0.440
GTSE1	ANLN	9606.ENSP00000415430	9606.ENSP00000265748	0	0	0	0	0.271	0.163	0	0.218	0.481
GTSE1	TICRR	9606.ENSP00000415430	9606.ENSP00000268138	0.042	0	0	0	0.429	0	0	0.150	0.494
GTSE1	NUF2	9606.ENSP00000415430	9606.ENSP00000271452	0	0	0	0	0.402	0	0	0.249	0.531
GTSE1	CDCA5	9606.ENSP00000415430	9606.ENSP00000275517	0	0	0	0	0.402	0	0	0.205	0.504
GTSE1	BUB1B	9606.ENSP00000415430	9606.ENSP00000287598	0	0	0	0	0.448	0	0	0.335	0.617
GTSE1	CCNB2	9606.ENSP00000415430	9606.ENSP00000288207	0	0	0	0	0.519	0	0.400	0.447	0.826
GTSE1	MELK	9606.ENSP00000415430	9606.ENSP00000298048	0	0	0	0	0.478	0	0	0.534	0.746
GTSE1	PLK1	9606.ENSP00000415430	9606.ENSP00000300093	0	0	0	0	0.628	0.292	0.900	0.400	0.982
GTSE1	TPX2	9606.ENSP00000415430	9606.ENSP00000300403	0	0	0	0	0.525	0	0	0.370	0.687
GTSE1	BIRC5	9606.ENSP00000415430	9606.ENSP00000301633	0	0	0	0	0.708	0	0	0.514	0.852
GTSE1	CKAP2L	9606.ENSP00000415430	9606.ENSP00000305204	0	0	0	0	0.630	0	0	0.317	0.736
GTSE1	AURKB	9606.ENSP00000415430	9606.ENSP00000313950	0	0	0	0	0.776	0	0	0.318	0.841
GTSE1	SKA3	9606.ENSP00000415430	9606.ENSP00000319417	0	0	0.203	0	0.424	0	0	0.235	0.618
GTSE1	CDC25C	9606.ENSP00000415430	9606.ENSP00000321656	0	0	0	0	0.544	0	0	0.414	0.721
GTSE1	SPAG5	9606.ENSP00000415430	9606.ENSP00000323300	0	0	0	0	0.395	0	0	0.264	0.535
GTSE1	KIF15	9606.ENSP00000415430	9606.ENSP00000324020	0	0	0	0	0.471	0	0	0.184	0.550
GTSE1	CDCA2	9606.ENSP00000415430	9606.ENSP00000328228	0	0	0	0	0.628	0	0	0.496	0.804
GTSE1	ERCC6L	9606.ENSP00000415430	9606.ENSP00000334675	0.042	0	0	0	0.355	0.071	0	0.277	0.529
GTSE1	CENPA	9606.ENSP00000415430	9606.ENSP00000336868	0	0	0	0	0.763	0	0	0.220	0.807
GTSE1	FOXM1	9606.ENSP00000415430	9606.ENSP00000342307	0	0	0	0	0.541	0	0	0.220	0.626
GTSE1	UBE2C	9606.ENSP00000415430	9606.ENSP00000348838	0	0	0	0	0.486	0	0	0.460	0.710
GTSE1	RRM2	9606.ENSP00000415430	9606.ENSP00000353770	0	0	0	0	0.384	0	0	0.400	0.614
GTSE1	EXO1	9606.ENSP00000415430	9606.ENSP00000355506	0	0	0	0	0.468	0	0	0.290	0.606
GTSE1	CENPF	9606.ENSP00000415430	9606.ENSP00000355922	0	0	0	0	0.613	0	0	0.369	0.745
GTSE1	NEK2	9606.ENSP00000415430	9606.ENSP00000355966	0	0	0	0	0.444	0	0	0.230	0.553
GTSE1	KIF14	9606.ENSP00000415430	9606.ENSP00000356319	0	0	0	0	0.542	0	0	0.349	0.689
GTSE1	ASPM	9606.ENSP00000415430	9606.ENSP00000356379	0	0	0	0	0.537	0	0	0.356	0.689
GTSE1	MKI67	9606.ENSP00000415430	9606.ENSP00000357643	0	0	0	0	0.766	0	0	0.320	0.834
GTSE1	TTK	9606.ENSP00000415430	9606.ENSP00000358813	0	0	0	0	0.359	0	0	0.360	0.572
GTSE1	CEP55	9606.ENSP00000415430	9606.ENSP00000360540	0	0	0	0	0.509	0	0	0.325	0.655
GTSE1	RAD54L	9606.ENSP00000415430	9606.ENSP00000361043	0.042	0	0	0	0.471	0.071	0	0.286	0.619
GTSE1	KIF2C	9606.ENSP00000415430	9606.ENSP00000361298	0	0	0	0	0.584	0	0	0.434	0.754
GTSE1	CDC20	9606.ENSP00000415430	9606.ENSP00000361540	0.042	0	0	0	0.537	0	0	0.400	0.711
GTSE1	CDCA8	9606.ENSP00000415430	9606.ENSP00000362146	0.057	0	0	0	0.502	0	0	0.301	0.643
GTSE1	ZWINT	9606.ENSP00000415430	9606.ENSP00000363055	0	0	0	0	0.338	0	0	0.167	0.424
GTSE1	KIF4A	9606.ENSP00000415430	9606.ENSP00000363524	0	0	0	0	0.505	0	0	0.349	0.664
GTSE1	HMMR	9606.ENSP00000415430	9606.ENSP00000377492	0	0	0	0	0.393	0	0	0.204	0.496
GTSE1	KIF20A	9606.ENSP00000415430	9606.ENSP00000378356	0	0	0	0	0.637	0	0	0.348	0.753
GTSE1	CHEK1	9606.ENSP00000415430	9606.ENSP00000391090	0	0	0	0	0.419	0	0	0.271	0.558
GTSE1	CDC45	9606.ENSP00000415430	9606.ENSP00000405726	0	0	0	0	0.498	0	0	0.300	0.633
GTSE1	TOP2A	9606.ENSP00000415430	9606.ENSP00000411532	0.042	0	0	0	0.541	0	0	0.402	0.714
GTSE1	DEPDC1	9606.ENSP00000415430	9606.ENSP00000412292	0	0	0	0	0.473	0	0	0.117	0.515
GTSE1	HJURP	9606.ENSP00000415430	9606.ENSP00000414109	0	0	0	0	0.785	0	0	0.505	0.889
GTSE1	PBK	9606.ENSP00000415430	9606.ENSP00000428489	0	0	0	0	0.393	0	0	0.249	0.524
GTSE1	MCM10	9606.ENSP00000415430	9606.ENSP00000418268	0	0	0	0	0.492	0	0	0.211	0.582
GTSE1	KIF18B	9606.ENSP00000415430	9606.ENSP00000465992	0	0	0	0	0.428	0	0	0.371	0.625
GTSE1	CDCA3	9606.ENSP00000415430	9606.ENSP00000442068	0	0	0	0	0.773	0	0	0.224	0.816
GTSE1	CCNA2	9606.ENSP00000415430	9606.ENSP00000481380	0	0	0	0	0.755	0	0	0.321	0.826
GYPE	TAL1	9606.ENSP00000351430	9606.ENSP00000294339	0	0	0	0	0.187	0	0	0.332	0.434
GYPE	CDH5	9606.ENSP00000351430	9606.ENSP00000497290	0	0	0	0	0	0	0	0.433	0.433
HJURP	CDC6	9606.ENSP00000414109	9606.ENSP00000209728	0	0	0	0	0.422	0	0	0.256	0.552
HJURP	MYBL2	9606.ENSP00000414109	9606.ENSP00000217026	0	0	0	0	0.426	0.195	0	0.202	0.599
HJURP	NCAPH	9606.ENSP00000414109	9606.ENSP00000240423	0	0	0	0	0.466	0	0	0.447	0.692
HJURP	DLGAP5	9606.ENSP00000414109	9606.ENSP00000247191	0	0	0	0	0.840	0	0	0.678	0.946
HJURP	E2F8	9606.ENSP00000414109	9606.ENSP00000250024	0	0	0	0	0.575	0	0	0.484	0.771
HJURP	NCAPG	9606.ENSP00000414109	9606.ENSP00000251496	0	0	0	0	0.784	0	0	0.477	0.882
HJURP	GINS2	9606.ENSP00000414109	9606.ENSP00000253462	0	0	0	0	0.395	0	0	0.222	0.509
HJURP	CCNB1	9606.ENSP00000414109	9606.ENSP00000256442	0	0	0	0	0.744	0	0	0.516	0.871
HJURP	TROAP	9606.ENSP00000414109	9606.ENSP00000257909	0	0	0.324	0	0.805	0	0	0.428	0.918
HJURP	ESPL1	9606.ENSP00000414109	9606.ENSP00000257934	0	0	0	0	0.776	0	0	0.339	0.845
HJURP	KIF11	9606.ENSP00000414109	9606.ENSP00000260731	0	0	0	0	0.846	0	0	0.563	0.930
HJURP	NDC80	9606.ENSP00000414109	9606.ENSP00000261597	0	0	0	0	0.807	0	0	0.336	0.866
HJURP	PKMYT1	9606.ENSP00000414109	9606.ENSP00000262300	0	0	0	0	0.386	0	0	0.070	0.404
HJURP	GINS1	9606.ENSP00000414109	9606.ENSP00000262460	0	0	0	0	0.279	0	0	0.220	0.413
HJURP	SGO1	9606.ENSP00000414109	9606.ENSP00000263753	0	0	0	0	0.510	0	0	0.533	0.761
HJURP	POLQ	9606.ENSP00000414109	9606.ENSP00000264233	0	0	0	0	0.530	0	0	0.073	0.546
HJURP	NEIL3	9606.ENSP00000414109	9606.ENSP00000264596	0	0	0	0	0.510	0	0	0.165	0.574
HJURP	DEPDC1B	9606.ENSP00000414109	9606.ENSP00000265036	0	0	0	0	0.500	0	0	0.091	0.526
HJURP	ANLN	9606.ENSP00000414109	9606.ENSP00000265748	0	0	0	0	0.543	0	0	0.322	0.677
HJURP	TICRR	9606.ENSP00000414109	9606.ENSP00000268138	0	0	0	0	0.480	0	0	0.107	0.516
HJURP	NUF2	9606.ENSP00000414109	9606.ENSP00000271452	0	0	0	0	0.770	0	0	0.541	0.890
HJURP	CDCA5	9606.ENSP00000414109	9606.ENSP00000275517	0	0	0	0	0.783	0	0	0.388	0.861
HJURP	BUB1B	9606.ENSP00000414109	9606.ENSP00000287598	0	0	0	0	0.847	0	0	0.355	0.897
HJURP	CCNB2	9606.ENSP00000414109	9606.ENSP00000288207	0	0	0	0	0.792	0	0	0.564	0.905
HJURP	MELK	9606.ENSP00000414109	9606.ENSP00000298048	0	0	0	0	0.798	0	0	0.639	0.924
HJURP	PLK1	9606.ENSP00000414109	9606.ENSP00000300093	0	0	0	0	0.652	0	0	0.613	0.859
HJURP	TPX2	9606.ENSP00000414109	9606.ENSP00000300403	0	0	0	0	0.813	0	0	0.447	0.892
